TABLE S1: Pearson Correlation for ORFs represented by multiple oligonucleotides			
Bozdech & Llinas et al.			

This table contains all of the ORFs represented in the analyzed dataset which 			
are represented by multiple oligonucleotides on the DNA microarray.			

Column 1: PlasmoDB ID			
Column 2: Oligonucleotide ID			
Column 3: Number of oligonucleotides for that ORF			
Column 4: The average Pearson correlation between these oligonucleotides			

PlasmoDB ID	Oligonucleotide ID	Number of oligos for this ORF	Average Pearson correlation
MAL7P1.134	f48424_2		
MAL7P1.134	f48424_3		
MAL7P1.145	d52830_1		
MAL7P1.145	f16210_1	3	0.840071428
MAL7P1.145	opfg0045		
MAL7P1.146	f15467_1		
MAL7P1.146	f24125_1	3	0.923519509
MAL7P1.146	f36083_1		
MAL7P1.147	e13057_1		
MAL7P1.147	e21586_1	5	0.83617549
MAL7P1.147	f17275_1		
MAL7P1.147	f3277_1		
MAL7P1.147	f38618_1		
MAL7P1.15	f21821_1		
MAL7P1.15	f21821_2	5	0.921478933
MAL7P1.15	f4380_1		
MAL7P1.15	f62846_1		
MAL7P1.15	opfblob0161		
MAL7P1.150	e4826_1		
MAL7P1.150	f71039_2	3	0.978623455
MAL7P1.150	f71039_5		
MAL7P1.151	f960_7	2	0.913295548
MAL7P1.151	f960_8		
MAL7P1.155	f17508_1		
MAL7P1.155	f57982_1	3	0.583038514
MAL7P1.155	f72257_2		
MAL7P1.16	f15410_2		
MAL7P1.16	f15410_4	4	0.846570579
MAL7P1.16	f49439_1		
MAL7P1.16	opfg0060		
MAL7P1.160	f71033_2	2	0.774527872
MAL7P1.160	f71033_3		
MAL7P1.164	f4218_1	2	0.934970222
MAL7P1.164	f45253_1		
MAL7P1.167	f49644_4	2	0.979552404
MAL7P1.167	f49644_5		
MAL7P1.17	f17473_1		
MAL7P1.17	f30663_1	3	0.983381255
MAL7P1.17	f30663_2		
MAL7P1.175	f16754_1	2	0.95524369
MAL7P1.175	opfg0028		
MAL7P1.19	e8769_2		
MAL7P1.19	f49538_1	5	0.840928645
MAL7P1.19	f53854_2		
MAL7P1.19	f71182_1		
MAL7P1.19	f71182_3		
MAL7P1.29	e12238_1	2	0.191402058
MAL7P1.29	f1703_1		
MAL7P1.38	f23526_1	2	0.030011685
MAL7P1.38	f23526_2		
MAL7P1.66	d7726_1	2	0.918482834
MAL7P1.66	f42803_3		
MAL7P1.68	f64549_1	2	0.888501806
MAL7P1.68	opfblob0055		
MAL7P1.7	f65043_1		
MAL7P1.7	f65043_3	3	0.869064743
MAL7P1.7	f65043_4		
MAL7P1.73	f49857_1	2	0.858337385
MAL7P1.73	f70772_1		
MAL7P1.76	f403_1		
MAL7P1.76	f49677_1	3	0.957029215
MAL7P1.76	f49677_3		
MAL7P1.83	f66828_2		
MAL7P1.83	i3665_1	3	-0.137716301
MAL7P1.83	i6174_2		
MAL7P1.84	f24631_1	2	0.989800743
MAL7P1.84	f24631_2		
MAL7P1.87	f26422_1		
MAL7P1.87	f26422_2	3	0.988591581
MAL7P1.87	f5128_8		
MAL7P1.89	f23544_1		
MAL7P1.89	f23557_1	3	0.332859837
MAL7P1.89	f48363_3		
MAL7P1.91	i15949_1	2	0.910227872
MAL7P1.91	i9333_1		
MAL8P1.10	f67281_1	2	0.675503931
MAL8P1.10	opfh0011		
MAL8P1.101	f27679_3		
MAL8P1.101	f27679_4	3	0.970754062
MAL8P1.101	f30848_1		
MAL8P1.104	f17165_1		
MAL8P1.104	f41820_1	3	0.940606846
MAL8P1.104	f45252_1		
MAL8P1.11	f45512_1	2	0.856460612
MAL8P1.11	f48515_1		
MAL8P1.113	e4387_1	2	0.955998266
MAL8P1.113	f32050_1		
MAL8P1.124	f19320_4	2	0.94898743
MAL8P1.124	f39414_1		
MAL8P1.132	f19828_1	2	0.959623886
MAL8P1.132	f19828_2		
MAL8P1.139	d55287_1		
MAL8P1.139	f14825_1	6	0.933262966
MAL8P1.139	f19199_1		
MAL8P1.139	f28897_1		
MAL8P1.139	f29880_1		
MAL8P1.139	f59967_3		
MAL8P1.14	f5206_4	2	0.961954925
MAL8P1.14	f5206_7		
MAL8P1.140	f36648_1	2	0.812633052
MAL8P1.140	f36648_2		
MAL8P1.141	f23551_1	2	0.976408623
MAL8P1.141	f46181_1		
MAL8P1.142	f20448_1		
MAL8P1.142	z_7_100	7	0.890199364
MAL8P1.142	z_7_50		
MAL8P1.142	z_7_60		
MAL8P1.142	z_7_70		
MAL8P1.142	z_7_80		
MAL8P1.142	z_7_90		
MAL8P1.143	f30537_3	2	0.909334762
MAL8P1.143	f42570_2		
MAL8P1.150	f45048_1		
MAL8P1.150	f45048_2	4	0.971255221
MAL8P1.150	f45048_3		
MAL8P1.150	opfh0021		
MAL8P1.153	f357_2	2	0.976842163
MAL8P1.153	f36374_1		
MAL8P1.156	f3302_4	2	0.965807231
MAL8P1.156	f66893_1		
MAL8P1.157	f27536_1		
MAL8P1.157	f64347_1	4	0.958408275
MAL8P1.157	f64347_2		
MAL8P1.157	f70599_1		
MAL8P1.17	f53081_1	2	0.92236456
MAL8P1.17	f53081_2		
MAL8P1.19	f20894_1	2	0.945523044
MAL8P1.19	f57064_2		
MAL8P1.23	d42356_1		
MAL8P1.23	f10466_1	8	0.885063062
MAL8P1.23	f3084_1		
MAL8P1.23	f32870_1		
MAL8P1.23	f3664_1		
MAL8P1.23	f51945_2		
MAL8P1.23	f51945_3		
MAL8P1.23	kn4782_2		
MAL8P1.29	f39274_1	2	0.927128978
MAL8P1.29	f39274_2		
MAL8P1.34	f31053_2	2	0.936319665
MAL8P1.34	f69158_1		
MAL8P1.40	f63399_1	2	0.935081077
MAL8P1.40	opfh0009		
MAL8P1.42	f52051_1		
MAL8P1.42	f58910_1	3	0.747134421
MAL8P1.42	f58910_2		
MAL8P1.54	f10872_1		
MAL8P1.54	f20870_1	3	0.915382677
MAL8P1.54	f4934_1		
MAL8P1.55	f20870_2	2	0.834334015
MAL8P1.55	f55601_1		
MAL8P1.58	f16362_1	2	0.926405181
MAL8P1.58	opfblob0019		
MAL8P1.64	f24941_2	2	0.950956884
MAL8P1.64	f65698_1		
MAL8P1.65	f26408_1	2	0.907784382
MAL8P1.65	f5252_1		
MAL8P1.84	f49328_1	2	0.974761904
MAL8P1.84	kn4643_2		
MAL8P1.88	f21560_1	2	0.981069196
MAL8P1.88	opfblob0158		
MAL8P1.91	f7632_1	2	0.974355127
MAL8P1.91	f7632_3		
MAL8P1.98	f3666_3	2	0.584570917
MAL8P1.98	i5092_3		
PF07_0015	f54854_1	2	0.94504331
PF07_0015	opfblob0124		
PF07_0019	f13671_1	2	0.989571423
PF07_0019	f24726_1		
PF07_0024	f14570_1		
PF07_0024	f19549_1	3	0.966436135
PF07_0024	f66665_1		
PF07_0028	f50872_1	2	0.791730501
PF07_0028	f64788_1		
PF07_0032	d35303_1	2	0.836223577
PF07_0032	opfg0004		
PF07_0037	f13529_1	2	-0.558492577
PF07_0037	f2227_1		
PF07_0042	f17836_1	2	0.963421154
PF07_0042	f17836_2		
PF07_0053	f6440_1	2	0.961136649
PF07_0053	f6440_2		
PF07_0061	e14323_1		
PF07_0061	e23784_1	4	0.982490134
PF07_0061	e23784_2		
PF07_0061	f4495_1		
PF07_0065	f42424_1	2	0.9948724
PF07_0065	opfblob0129		
PF07_0069	e7132_1	2	0.709622303
PF07_0069	f28460_1		
PF07_0073	e3440_1	2	0.945605403
PF07_0073	opfg0029		
PF07_0082	f64738_1	2	0.800995552
PF07_0082	f64738_4		
PF07_0085	e17711_1	2	0.871170133
PF07_0085	f12694_1		
PF07_0086	f27786_1		
PF07_0086	f48446_1	3	0.846498682
PF07_0086	f9676_1		
PF07_0091	e26598_1		
PF07_0091	e26598_3	3	0.833071457
PF07_0091	opfg0050		
PF07_0101	a8408_1		
PF07_0101	a8408_2	4	0.953493854
PF07_0101	f52401_1		
PF07_0101	f67443_1		
PF07_0104	f62285_1	2	0.995554506
PF07_0104	kn6869_1		
PF07_0106	f6265_1	2	0.978312152
PF07_0106	opfg0055		
PF07_0107	f21598_1	2	0.870951334
PF07_0107	f56806_1		
PF07_0112	f960_4		
PF07_0112	f960_5	3	0.968504631
PF07_0112	opfg0009		
PF07_0115	f8027_1	2	0.866651613
PF07_0115	f8027_3		
PF07_0116	f11920_1	2	0.938655626
PF07_0116	f45354_1		
PF07_0118	e18957_1		
PF07_0118	f45296_1	4	0.961133967
PF07_0118	f45296_2		
PF07_0118	f53971_1		
PF07_0119	f35105_1	2	0.462982586
PF07_0119	f35105_2		
PF07_0121	e14340_1	2	0.976763208
PF07_0121	f43064_1		
PF07_0125	f56540_1	2	-0.40622632
PF07_0125	opfg0043		
PF07_0126	f59139_1		
PF07_0126	f59139_2	3	0.968061376
PF07_0126	f59139_4		
PF07_0128	f739_1	2	0.975986549
PF07_0128	i14975_1		
PF08_0020	f42602_1	2	0.796402362
PF08_0020	opfh0034		
PF08_0021	f36803_1	2	0.957775782
PF08_0021	i12708_1		
PF08_0034	f23846_3	2	0.938600915
PF08_0034	opfh0036		
PF08_0045	f10318_1	2	0.965977976
PF08_0045	f22233_2		
PF08_0054	a4003_1	2	0.861332041
PF08_0054	f21150_1		
PF08_0060	f14846_1		
PF08_0060	f720_1	4	0.986087636
PF08_0060	f720_2		
PF08_0060	opfh0017		
PF08_0061	f38658_1	2	0.958610891
PF08_0061	f38658_2		
PF08_0079	f40493_1	2	0.977142048
PF08_0079	opfh0029		
PF08_0080	f17989_1	2	0.973814363
PF08_0080	f17989_2		
PF08_0081	f69951_1	2	0.931528851
PF08_0081	f69951_2		
PF08_0085	f70278_2	2	0.925939342
PF08_0085	opfh0002		
PF08_0089	f13914_1	2	0.89447319
PF08_0089	f24843_2		
PF08_0092	f11491_1	2	0.932890643
PF08_0092	opfh0024		
PF08_0095	f18525_1	2	0.965570628
PF08_0095	f61158_1		
PF08_0102	f10141_1		
PF08_0102	f33612_1	3	0.887265469
PF08_0102	f59197_1		
PF08_0114	f34425_1	2	0.925948282
PF08_0114	f59310_5		
PF08_0118	f41385_1	2	0.961825769
PF08_0118	f41385_2		
PF08_0124	f51234_1	2	0.903933885
PF08_0124	f51234_2		
PF08_0126	e15771_1	2	0.948418171
PF08_0126	f36383_1		
PF08_0137	f46705_1	2	0.963717826
PF08_0137	kn12363_3		
PF10_0026	j33_2	2	0.881189238
PF10_0026	j33_3		
PF10_0037	j120_12	2	0.983929243
PF10_0037	km708_1		
PF10_0038	j120_14	2	0.953493064
PF10_0038	j120_15		
PF10_0043	kn3544_2	2	0.98509025
PF10_0043	opfj12796		
PF10_0051	j43_12	2	0.542091151
PF10_0051	j43_14		
PF10_0062	j697_5	2	0.870508568
PF10_0062	km389_2		
PF10_0069	j44_4	2	0.572588684
PF10_0069	j44_6		
PF10_0073	j45_11	2	0.320379726
PF10_0073	j58_4		
PF10_0093	j267_2	2	0.967711123
PF10_0093	opfj12807		
PF10_0098	j647_8	2	0.972936231
PF10_0098	opfj12816		
PF10_0099	j373_1	2	0.927866001
PF10_0099	km993_1		
PF10_0107	j252_2	2	0.983519893
PF10_0107	opfj12800		
PF10_0116	j293_1	2	0.937778648
PF10_0116	j293_4		
PF10_0117	j181_2	2	0.884400107
PF10_0117	j181_4		
PF10_0131	j206_6	2	0.799036478
PF10_0131	j206_7		
PF10_0135	j53_16	2	0.975292141
PF10_0135	ks173_8		
PF10_0136	j53_17		
PF10_0136	ks142_1	3	0.760271623
PF10_0136	opfj12810		
PF10_0138	j53_21	2	0.992471622
PF10_0138	ks446_1		
PF10_0150	j53_40	2	0.954117344
PF10_0150	opfblob0090		
PF10_0174	j110_4	2	0.875920184
PF10_0174	kn3744_1		
PF10_0188	e19346_1		
PF10_0188	j27_14	4	0.983857734
PF10_0188	j27_18		
PF10_0188	km948_3		
PF10_0189	j81_1	2	0.973860415
PF10_0189	kn146_1		
PF10_0198	j26_3	2	0.953743201
PF10_0198	ks221_3		
PF10_0200	j26_1	2	0.957169502
PF10_0200	ks3365_1		
PF10_0208	j65_10		
PF10_0208	j65_6	3	0.94877811
PF10_0208	opfblob0115		
PF10_0211	j82_7	2	0.979515163
PF10_0211	ks228_6		
PF10_0214	j106_9	2	0.982369426
PF10_0214	opfblob0140		
PF10_0215	j106_4	2	-0.619438376
PF10_0215	j106_6		
PF10_0219	j183_1	2	0.961736044
